sport,team_a_form,team_b_form,team_a_strength,team_b_strength,home_advantage,head_to_head_advantage,team_a_avg_goals,team_b_avg_goals,team_a_avg_conceded,team_b_avg_conceded,winner
basketball,0.6718,0.6952,0.5643,0.5819,1,0.3228,109.18,110.36,106.12,102.33,1
basketball,0.7292,0.6078,0.581,0.5921,1,0.5124,118.22,118.39,113.95,110.74,0
basketball,0.6814,0.7452,0.649,0.5534,1,0.5854,119.82,104.4,95.0,102.65,1
basketball,0.7144,0.6456,0.5356,0.611,1,0.5721,103.16,118.19,106.42,104.52,1
basketball,0.7772,0.4939,0.5952,0.6228,1,0.6732,115.23,122.76,105.19,107.45,1
basketball,0.5353,0.6164,0.5578,0.5899,0,0.4679,104.25,117.07,101.04,109.5,1
football,0.78,0.7437,0.6992,0.6681,0,0.4625,2.02,1.8,0.65,0.58,1
cricket,0.6485,0.4516,0.6218,0.4846,1,0.4094,163.72,135.34,6.74,8.04,1
cricket,0.5755,0.729,0.5231,0.5763,0,0.4877,150.78,156.14,8.23,7.3,1
basketball,0.6294,0.626,0.5608,0.5331,0,0.5418,118.22,115.36,120.27,124.79,0
basketball,0.6876,0.7556,0.4931,0.6193,0,0.5679,106.83,124.92,127.86,111.63,0
cricket,0.5529,0.4939,0.4563,0.5846,1,0.507,125.85,159.93,8.03,7.38,0
cricket,0.7147,0.6405,0.647,0.7533,0,0.3882,176.79,192.53,7.08,5.61,1
basketball,0.648,0.6389,0.4975,0.5691,0,0.5824,100.78,111.7,114.88,108.27,0
basketball,0.5911,0.7404,0.5176,0.6442,1,0.3105,107.75,125.87,118.66,105.24,1
football,0.6872,0.7589,0.689,0.5491,1,0.39,1.76,1.56,0.4,1.02,1
cricket,0.6532,0.5829,0.5508,0.6227,0,0.548,156.99,151.23,8.0,5.77,1
football,0.8034,0.7434,0.7831,0.8345,0,0.4663,2.39,2.8,0.6,0.78,1
basketball,0.6815,0.6733,0.5896,0.4959,0,0.5235,122.23,104.61,117.03,120.92,0
cricket,0.8886,0.5051,0.6193,0.548,1,0.6347,155.79,143.85,6.2,7.09,1
basketball,0.6201,0.7744,0.6303,0.6161,1,0.478,133.02,123.15,115.52,110.09,0
football,0.6486,0.7851,0.478,0.8113,0,0.3645,1.19,2.56,1.01,0.62,0
football,0.7043,0.7204,0.6426,0.4054,1,0.603,2.27,1.0,1.32,1.22,1
football,0.7804,0.7062,0.7744,0.6201,1,0.545,2.35,1.84,0.6,0.92,1
basketball,0.7671,0.713,0.5952,0.5715,1,0.4507,118.35,119.28,109.68,118.44,1
basketball,0.6167,0.5289,0.6305,0.6087,1,0.4666,125.84,117.2,109.46,103.81,0
basketball,0.5839,0.6067,0.5345,0.6118,1,0.5292,95.0,126.39,95.0,116.11,1
basketball,0.631,0.8441,0.5707,0.598,1,0.4207,110.9,115.46,106.62,104.65,1
football,0.6946,0.8262,0.5256,0.7676,1,0.3856,1.72,2.46,1.37,0.78,1
football,0.7159,0.6975,0.7038,0.4868,1,0.5549,2.35,1.49,1.04,1.32,0
cricket,0.6764,0.7702,0.5219,0.5232,1,0.4473,137.58,150.29,7.27,8.19,0
cricket,0.7529,0.4929,0.5489,0.4201,1,0.5367,156.45,119.9,8.01,8.49,1
